,pharma_cid,total,attended,lost
227,company8ebe9bad-b02f-11ec-8c81-2197c61e70c4,0,0,0
228,company9481c7da-9f9f-11ec-836a-e70aa5ed2df7,1,0,500
229,company42200540-cace-11ec-8f4a-adb69a5e23be,0,0,0
230,company3be2fede-bf25-11ec-ac55-dba8e23463f1,0,0,0
231,company485eced6-971b-11ec-ba5d-b78d7b41cbc8,0,0,0
232,company0322c71b-63b9-11ec-9b09-eb93b3124849,1,0,500
233,companydb7fc0b5-9acf-11ec-8e24-d98c356bf3e5,0,0,0
234,companyb851ca2a-9c78-11ec-92a3-17b4714d7881,0,0,0
235,company0b152adf-7453-11ec-8e0d-2144a5d5379b,0,0,0
236,company3e6d7b36-6189-11ec-86fa-a9cdcdd1d847,0,0,0
237,company7a87abd6-661d-11ec-9912-e5e5202974e0,1,0,500
238,company7171f6dc-b650-11ec-b570-434b36e6d8e7,0,0,0
239,companyc1d31079-9882-11ec-8883-f51fdbfc078f,0,0,0
240,companycb8020e8-b3f9-11ec-9ad4-3ba0213ad9df,0,0,0
241,company029aa03a-9c75-11ec-bfd6-f524748d51d8,0,0,0
242,company6e68eddf-aff8-11ec-a831-0b05ee2ddd91,0,0,0
243,company78bf7c50-663c-11ec-9e7f-77fa8a02b2ce,0,0,0
244,company79202be1-af44-11ec-9bde-2715f5ee0731,0,0,0
245,company6169e5c0-b1a6-11ec-9ee7-c97c7031330d,0,0,0
246,company0d2ee994-9c67-11ec-bba0-bd358c474607,0,0,0
247,company0416f615-4924-11ec-889e-0128ea28ebda,0,0,0
248,company14510da5-7db7-11ec-8fa9-bd1a65819410,0,0,0
249,company6db9e331-25d0-11ec-a24b-1f2bccb456aa,1,0,500
250,companyc2a26b44-cb75-11ec-9754-39aa9bb33a43,0,0,0
251,companyc0407d0e-125d-11ec-830d-c51d13bcf020,0,0,0
252,companyd67c74d7-a67e-11ec-9413-fd081782a1f5,0,0,0
253,company9aad88cf-9aee-11ec-bacf-edf6d778378b,1,0,500
254,companyf92e915e-c206-11ec-9a3b-67c46c9ee9a8,0,0,0
255,companyed48a78b-bfb0-11ec-85e5-f5a0569f2976,0,0,0
256,company505bd869-8bdf-11ec-aadb-ad102e8858ed,0,0,0
257,company9bdddedf-6181-11ec-abdc-9185086d64ab,0,0,0
258,companyfaebc1bf-a50f-11ec-ad73-71168a504770,0,0,0
259,company31884ade-a2a9-11ec-8d44-c16dc477d49f,0,0,0
260,company15220b28-a5d0-11ec-80ed-23ae879454af,0,0,0
261,companyc37990b4-c62b-11ec-90bf-79bdc4785bc7,0,0,0
262,company3f2e887c-c1fa-11ec-b140-bba425e02565,0,0,0
263,company2bc2387d-af3f-11ec-83e9-6d3a03bf1ee8,0,0,0
264,companye4d425da-bca1-11ec-be16-556ed0acb4a2,0,0,0
265,company9c249bb8-b17f-11ec-a85f-dd2f1280a752,0,0,0
266,companye9ed226c-c228-11ec-8cdc-7f8abde26183,2,0,1000
267,company03b50c56-8b23-11ec-8ff9-c5e99fab6ab1,0,0,0
